METADATA
initial_wait_s: 30
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 0
country: usa
place: discobay
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-02-26T10:14:01:032Z
DATA
TIME L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11
2025-02-26T10:14:03:049Z 20894 29261 36117 40226 50601 50601 41251 44231 47725 50601 50601 50601
2025-02-26T10:14:04:050Z 20931 29626 36178 40610 50601 50601 40338 43759 46937 50601 50601 50601
2025-02-26T10:14:05:050Z 20331 28646 34824 39165 50601 50601 39718 43296 46846 50601 50601 50601
2025-02-26T10:14:06:050Z 20486 28775 35061 39433 50601 50601 40618 44288 47842 50601 50601 50601
2025-02-26T10:14:07:050Z 17874 24750 31099 36029 50601 50601 36919 40961 46695 50601 50601 50601
2025-02-26T10:14:08:050Z 20920 29310 35942 40478 50601 50601 40649 44203 48349 50601 50601 50601
2025-02-26T10:14:09:050Z 20631 29265 35372 39881 50601 50601 40382 44135 46776 50601 50601 50601
2025-02-26T10:14:10:050Z 20517 29233 34981 39690 50601 50601 40279 43962 46659 50601 50601 50601
2025-02-26T10:14:11:050Z 21135 29940 36303 41000 50601 50601 41736 45652 48266 50601 50601 50601
2025-02-26T10:14:12:050Z 21124 29873 36187 40962 50601 50601 41004 45032 48078 50601 50601 50601
2025-02-26T10:14:13:050Z 21138 29856 36198 40870 50601 50601 41007 44919 48086 50601 50601 50601
2025-02-26T10:14:14:050Z 20184 28680 34842 39194 50601 50601 40439 43998 47192 50601 50601 50601
2025-02-26T10:14:15:050Z 21549 30374 37392 41919 50601 50601 42059 45694 48919 50601 50601 50601
2025-02-26T10:14:16:050Z 20885 29489 35729 40398 50601 50601 41079 44957 47572 50601 50601 50601
2025-02-26T10:14:17:050Z 21502 30322 36955 41753 50601 50601 41652 45716 48559 50601 50601 50601
2025-02-26T10:14:18:050Z 21822 30749 37139 42390 50601 50601 40988 45201 48245 50601 50601 50601
2025-02-26T10:14:19:050Z 20564 28887 34927 39336 50601 50601 39200 42851 45656 50601 50601 50601
2025-02-26T10:14:20:050Z 20767 29240 36002 40323 50601 50601 41219 44344 49028 50601 50601 50601
2025-02-26T10:14:21:050Z 21062 29214 35800 40043 50601 50601 41122 44391 48377 50601 50601 50601
2025-02-26T10:14:22:050Z 21511 29820 37035 41670 50601 50601 42451 46119 50096 50601 50601 50601
2025-02-26T10:14:23:050Z 21605 29876 37119 41659 50601 50601 42217 45885 49683 50601 50601 50601
2025-02-26T10:14:24:050Z 22044 30224 37849 41979 50601 50601 42567 46312 50059 50601 50601 50601
2025-02-26T10:14:25:050Z 21476 29716 36957 41193 50601 50601 41876 45679 49139 50601 50601 50601
2025-02-26T10:14:26:050Z 20671 29064 35736 40075 50601 50601 40205 43854 47566 50601 50601 50601
2025-02-26T10:14:27:050Z 21368 29722 36744 41156 50601 50601 41970 45634 49297 50601 50601 50601
2025-02-26T10:14:28:050Z 22131 31066 37973 42589 50601 50601 42975 46538 50073 50601 50601 50601
2025-02-26T10:14:29:050Z 22145 31266 38164 42981 50601 50601 43380 46654 50601 50601 50601 50601
2025-02-26T10:14:30:050Z 32705 35218 47929 48264 50601 50601 44880 48771 50601 50601 50601 50601
2025-02-26T10:14:31:050Z 27130 38459 46808 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:32:050Z 27324 37965 46267 50601 50601 50601 49695 50601 50601 50601 50601 50601
2025-02-26T10:14:33:050Z 26914 37489 45585 50601 50601 50601 50428 50601 50601 50601 50601 50601
2025-02-26T10:14:34:050Z 27354 39067 48306 50557 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:35:050Z 35846 47256 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:36:050Z 28799 39362 48675 50597 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:37:050Z 28610 38541 48124 50601 50601 50601 50210 50601 50601 50601 50601 50601
2025-02-26T10:14:38:050Z 21152 29464 36362 40345 50601 50601 41541 44790 49947 50601 50601 50601
