METADATA
initial_wait_s: 15
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 1
country: colombia
place: akuara
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-04-16T10:47:11:085Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-04-16T10:47:13:125Z 34812 48148 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:14:126Z 40001 49271 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:15:126Z 30644 42698 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:16:126Z 24436 33228 41080 43437 42814 42299 45823 50601 50601 50601 65234
2025-04-16T10:47:17:126Z 33084 44935 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:18:126Z 34326 50598 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:19:126Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:20:126Z 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:21:126Z 18786 26758 30829 31516 49536 50012 50601 50601 50601 50601 65234
2025-04-16T10:47:22:126Z 30888 42049 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:23:126Z 46714 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:24:126Z 35615 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:25:126Z 36541 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:26:126Z 37824 50601 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:27:126Z 31077 44195 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:28:126Z 24686 36403 46950 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:29:126Z 29878 42066 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:30:126Z 34083 47829 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:31:126Z 35578 50153 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:32:126Z 32278 50330 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:47:33:126Z 16546 26146 33966 37697 36212 36033 44137 46178 50601 50601 65234
2025-04-16T10:47:34:126Z 19197 28740 37662 40169 34645 36582 46509 49159 50601 50601 65234
2025-04-16T10:47:35:126Z 8668 12396 15857 17691 22527 23664 28527 28690 50573 45035 65234
2025-04-16T10:47:36:126Z 11768 17101 21519 25065 21911 21157 25638 27231 50601 50601 65234
2025-04-16T10:48:14:130Z 40538 46352 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:15:130Z 40373 46178 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:16:130Z 40432 46223 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:17:130Z 40638 46487 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:18:130Z 40670 46529 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:19:130Z 40503 46371 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:20:130Z 40582 46447 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:21:130Z 40590 46483 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:22:130Z 40515 46472 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:23:130Z 40544 46489 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:24:130Z 40600 46589 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:25:130Z 40590 46596 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:26:130Z 40630 46638 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:27:130Z 40573 46680 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:28:130Z 40541 46707 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:29:130Z 40601 46752 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:30:130Z 40481 46752 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:31:130Z 40546 46795 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:32:130Z 40510 46817 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:33:130Z 40507 46873 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:34:130Z 40468 46866 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:35:130Z 40471 46894 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:36:130Z 40327 46833 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:37:130Z 40311 46831 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:38:130Z 40480 47066 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:39:130Z 40353 46907 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:40:130Z 40263 46881 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:41:130Z 40336 46921 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:42:130Z 40166 46850 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:43:130Z 40133 46808 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:44:130Z 40182 46870 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:45:130Z 40142 46826 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:46:130Z 40081 46806 50601 50601 50601 50601 50601 50601 50601 50601 65234
