METADATA
initial_wait_s: 30
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 0
country: usa
place: discobay
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: as7341
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-05-21T09:27:04:038Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-05-21T10:05:47:100Z 3147 4138 5784 6436 7446 7847 9136 11093 30588 17805
2025-05-21T10:05:48:128Z 3139 4123 5768 6423 7435 7840 9121 11079 30576 17792
2025-05-21T10:05:49:156Z 3145 4135 5782 6439 7479 7883 9176 11140 30729 17863
2025-05-21T10:05:50:183Z 3158 4151 5806 6460 7468 7874 9162 11118 30621 17814
2025-05-21T10:05:51:211Z 3150 4132 5790 6432 7450 7849 9136 11089 30430 17697
2025-05-21T10:05:52:242Z 3149 4124 5791 6412 7570 7883 9295 11188 30227 17571
2025-05-21T10:05:53:270Z 3086 4115 5624 6634 8154 8583 10457 12017 32996 17957
2025-05-21T10:05:54:298Z 3171 4571 6038 7396 8086 8502 10365 11901 32415 17630
2025-05-21T10:05:55:326Z 3150 4535 5995 7339 8017 8426 10269 11786 31544 17103
2025-05-21T10:05:56:352Z 3128 4475 5934 7236 8210 8554 10404 11976 31414 16821
2025-05-21T10:05:57:380Z 3227 4697 6206 7528 8393 8730 10618 12243 32398 17272
2025-05-21T10:05:58:408Z 3232 4717 6226 7555 8362 8702 10590 12203 32279 17208
2025-05-21T10:05:59:439Z 3223 4694 6204 7524 8349 8689 10569 12172 32278 17210
2025-05-21T10:06:00:466Z 2961 4326 5691 6967 2687 3219 4081 5023 13311 7418
2025-05-21T10:06:02:493Z 1598 2078 2846 3437 219 302 549 885 2541 2042
2025-05-21T10:06:03:521Z 161 177 203 276 181 258 476 823 2485 2088
2025-05-21T10:06:04:549Z 103 113 123 143 92 138 280 588 1885 1689
2025-05-21T10:06:05:577Z 78 84 84 91 53 76 165 385 1161 949
2025-05-21T10:06:06:604Z 69 74 73 78 57 82 178 410 1223 997
2025-05-21T10:06:07:635Z 67 72 75 84 53 75 161 365 1079 870
2025-05-21T10:06:08:664Z 51 55 54 58 48 68 141 328 992 824
