METADATA
initial_wait_s: 15
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 1
country: colombia
place: akuara
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-05-21T09:37:06:096Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-05-21T10:05:51:157Z 4530 6024 8308 9705 12878 13734 17218 20466 36343 19365
2025-05-21T10:05:52:190Z 8183 12087 16243 18926 21282 22931 26544 31956 65535 41858
2025-05-21T10:05:53:223Z 9154 13478 17922 21295 18292 19484 23257 27194 65535 37254
2025-05-21T10:05:54:256Z 2606 3666 5027 5331 5964 6212 7523 9149 36016 20611
2025-05-21T10:05:55:288Z 1350 1785 2390 2808 4207 4547 5840 7402 14512 11309
2025-05-21T10:05:56:320Z 2127 2559 3639 3865 9480 9580 11948 14139 32788 20072
2025-05-21T10:05:57:353Z 3363 4585 6232 7252 14358 16037 17191 22639 47965 24751
2025-05-21T10:05:58:385Z 852 922 1264 1443 2604 3480 3982 5310 13690 11890
2025-05-21T10:05:59:417Z 4145 5926 7980 9165 14740 15862 18150 22352 54727 29190
2025-05-21T10:06:00:451Z 5758 8430 11256 13395 13420 13947 17509 19557 50797 24854
2025-05-21T10:06:01:483Z 5189 7591 10171 12206 13123 13936 17083 19541 53000 25493
2025-05-21T10:06:02:513Z 5313 7805 10472 12517 14537 14959 19111 21230 65125 28942
2025-05-21T10:06:03:544Z 6321 9359 12666 14923 16045 16851 20978 23877 65535 30921
2025-05-21T10:06:04:577Z 4876 7463 9845 11955 14661 15405 19278 22152 65535 30108
2025-05-21T10:06:06:611Z 5854 8537 11603 13562 15355 15817 19942 22674 65535 31729
2025-05-21T10:06:07:645Z 5391 8263 11038 13016 15934 16514 20699 23433 65535 31289
2025-05-21T10:06:08:678Z 5941 8765 11849 13942 14839 15702 19446 22282 65535 30162
2025-05-21T10:06:09:709Z 5679 8493 11260 13581 6846 7508 9858 11884 25625 14293
2025-05-21T10:06:10:742Z 2073 2785 3668 4555 12530 13293 16612 19086 40744 20690
2025-05-21T10:06:11:774Z 3739 5734 7490 9154 10771 11717 14584 17069 49022 22903
2025-05-21T10:06:12:806Z 4128 5412 7311 8475 15700 16970 20629 23980 64192 28925
2025-05-21T10:06:13:838Z 6199 9342 12486 14914 12872 13563 16847 19479 45411 24766
2025-05-21T10:06:14:872Z 6062 8635 11628 13757 13080 13284 16586 19054 45380 25335
2025-05-21T10:06:15:903Z 4933 6661 9320 10541 7740 7461 10529 11163 50707 30765
2025-05-21T10:06:16:936Z 3974 5907 7769 9311 18036 18502 23126 26419 65535 51178
2025-05-21T10:06:17:968Z 10639 15966 21211 24904 27770 29355 34343 41155 65535 52592
2025-05-21T10:06:18:000Z 9911 14848 19665 23216 25219 26475 31627 37027 65535 50087
2025-05-21T10:06:19:033Z 10074 15230 19942 24105 28111 29922 35257 41014 65535 52329
2025-05-21T10:06:20:065Z 10875 16235 21330 25808 28125 30031 35326 41167 65535 52001
2025-05-21T10:06:21:099Z 10880 16232 21322 25820 28273 30195 35513 41339 65535 52339
2025-05-21T10:06:22:131Z 10950 16328 21469 25992 28474 30441 35776 41642 65535 52647
2025-05-21T10:06:23:164Z 10967 16477 21667 26135 29444 30908 36335 42750 65535 55218
2025-05-21T10:06:24:196Z 11419 17240 22874 26872 30098 31650 36584 43804 65535 56587
2025-05-21T10:06:25:230Z 11576 17391 23068 27145 30933 32548 37776 45134 65535 56666
2025-05-21T10:06:26:262Z 11842 17884 23560 28140 31145 32804 38358 45242 65535 56757
2025-05-21T10:06:27:294Z 11848 17889 23575 28201 31154 32815 38420 45248 65535 56729
2025-05-21T10:06:28:326Z 11857 17901 23585 28232 31162 32824 38423 45263 65535 56779
